common_system	common_subtype	subtype	min_gene	tool	
Cas	Cas_Class1_TypeI_subtypeF	CRISPR-CAS_typeI-F	NA	pads	
Cas	Cas_Class1_TypeI_subtypeF_v1	CRISPR-CAS_typeI-F-V1	NA	pads	
Cas	Cas_Class1_TypeI_subtypeF_v2	CRISPR-CAS_typeI-F-V2	NA	pads	
Cas	Cas_Class2_TypeII	CRISPR-CAS_typeII	NA	pads	
Cas	Cas_Class2_TypeII_subtypeA	CRISPR-CAS_typeII-A	NA	pads	
Cas	Cas_Class2_TypeII_subtypeB	CRISPR-CAS_typeII-B	NA	pads	
Cas	Cas_Class2_TypeII_subtypeC	CRISPR-CAS_typeII-C	NA	pads	
Cas	Cas_Class1_TypeIII	CRISPR-CAS_typeIII	NA	pads	
Cas	Cas_Class1_TypeIII_subtypeA	CRISPR-CAS_typeIII-A	NA	pads	
Cas	Cas_Class1_TypeIII_subtypeA_V	CRISPR-CAS_typeIII-A-V	NA	pads	
Cas	Cas_Class1_TypeIII_subtypeB	CRISPR-CAS_typeIII-B	NA	pads	
Cas	Cas_Class1_TypeIII_subtypeB_V	CRISPR-CAS_typeIII-B-V	NA	pads	
Cas	Cas_Class1_TypeIV	CRISPR-CAS_typeIV	NA	pads	
Cas	Cas_Class1_TypeIV_V	CRISPR-CAS_typeIV-V	NA	pads	
Cas	Cas	CRISPR-CAS	NA	pads	
DISARM	DISARM_type_I	DISARM_typeI	NA	pads	
DISARM	DISARM_type_II	DISARM_typeII	NA	pads	
Dnd	Dnd	DND	NA	pads	
Druantia	Druantia_type_I	DRUANTIA_typeI	NA	pads	
Druantia	Druantia_type_II	DRUANTIA_typeII	NA	pads	
Druantia	Druantia_type_III	DRUANTIA_typeIII	NA	pads	
Druantia	Druantia	DRUANTIA	NA	pads	
Gabija	Gabija	GABIJA	NA	pads	
Hachiman	Hachiman	HACHIMAN	NA	pads	
Kiwa	Kiwa	KIWA	NA	pads	
Lamassu	Lamassu	LAMASSU	NA	pads	
Lit	Lit	ABI_Lit	NA	pads	
pAgo	pAgo	PAGOS	NA	pads	
PfiA	PfiA	ABI_PifA	NA	pads	
PrrC	PrrC	ABI_PrrC	NA	pads	
RexAB	RexAB	ABI_RexA	NA	pads	
RexAB	RexAB	ABI_RexB	NA	pads	
RloC	RloC	ABI_RloC	NA	pads	
RM	RM_type_I	RM_typeI	NA	pads	
RM	RM_type_II	RM_typeII	NA	pads	
RM	RM_type_III	RM_typeIII	NA	pads	
Septu	Septu	SEPTU	NA	pads	
Shedu	Shedu	SHEDU	NA	pads	
TA	TA_type_I	TA_typeI	NA	pads	
TA	TA_type_II	TA_typeII	NA	pads	
TA	TA_type_III	TA_typeIII	NA	pads	
TA	TA_type_IV	TA_typeIV	NA	pads	
TA	TA_type_V	TA_typeV	NA	pads	
TA	TA_type_VI	TA_typeVI	NA	pads	
TA	TA	TA	NA	pads	
Thoeris	Thoeris	THOERIS	NA	pads	
Wadjet	Wadjet_type_I	WADJET_typeI	NA	pads	
Wadjet	Wadjet_type_II	WADJET_typeII	NA	pads	
Wadjet	Wadjet_type_III	WADJET_typeIII	NA	pads	
Wadjet	Wadjet	WADJET	NA	pads	
Zorya	Zorya_type_I	ZORYA_typeI	NA	pads	
Zorya	Zorya_type_II	ZORYA_typeII	NA	pads	
Zorya	Zorya	ZORYA	NA	pads	
